,league,year,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff,Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
17,Ligue_1,2018,7,Nice,38,15,11,12,30,35,56,43.449513,13.449513000000005,36.51428299999999,49.732516,14.732516000000004,45.172001,-8.657717999999997,11.599403481410205,13.548910063787947,135,216,48.15840000000002,-7.8415999999999855,Nice,30,19,0,16,3,441,131,457,495,125,331,42,254,55,108,663,419,425,527,17038,19818,61,541,2254,501,2196,245,82,25,198,51,5,413,1,27531,728,9,5,0,4,37,13,172,145,172,31,9,1,35,16,122,77,47,4,6,6,3,733,733,15,1048,13,0,40,42,16,922
11,Ligue_1,2018,8,Reims,38,13,16,9,39,42,55,37.119521,-1.880479000000001,35.59932999999999,42.28275399999999,0.28275399999999,36.962162400000004,-1.3628323999999987,13.311111790634529,9.108998729633841,165,176,48.21990000000001,-6.78009999999999,Reims,39,27,0,24,3,406,137,490,634,148,299,36,238,34,111,760,456,532,469,10625,13986,89,676,2343,318,2189,249,97,31,157,40,8,332,2,21453,643,2,2,0,0,54,14,164,146,164,14,6,1,42,14,111,60,53,12,7,7,0,819,819,15,1038,17,3,79,27,18,587
6,Ligue_1,2018,9,Nimes,38,15,8,15,57,58,53,48.504984,-8.495016,43.944745000000005,55.471937,-2.528063000000003,51.67159,-7.726844999999999,11.315547086499025,8.8104803764441,151,189,49.8976,-3.102400000000003,Nimes,57,37,0,23,14,520,179,440,736,172,366,48,267,60,120,724,441,487,500,10145,13630,89,732,2303,359,2273,291,117,47,231,64,10,407,1,21700,733,6,4,1,1,72,17,202,190,202,26,10,2,58,10,123,81,43,12,5,5,1,772,772,15,1049,16,0,40,37,30,676
7,Ligue_1,2018,10,Rennes,38,13,13,12,55,52,52,56.051170000000006,1.0511700000000133,48.30463700000002,46.19415000000002,-5.805849999999985,42.31018400000001,5.994452999999999,10.898668890260586,11.897952019372413,187,207,59.93230000000002,7.932300000000026,Rennes,55,34,0,26,8,470,159,388,663,143,325,50,259,31,119,654,397,490,496,13084,16117,86,647,2269,389,2151,267,107,43,206,55,12,379,1,23702,729,10,7,1,2,65,11,191,158,191,47,14,2,52,11,107,69,43,15,5,5,1,731,731,7,1026,17,1,61,46,29,764
5,Ligue_1,2018,11,Strasbourg,38,11,16,11,58,48,49,40.58874,-17.411260000000006,35.219885999999995,48.5063415,0.5063414999999978,41.5713025,-6.351416499999999,12.704171596230069,13.227018232715855,156,182,46.48069999999999,-2.5193000000000154,Strasbourg,58,43,0,34,9,402,157,418,721,168,310,37,225,42,127,651,407,512,411,13595,16898,114,654,2250,285,1969,235,107,50,168,51,8,404,1,24106,595,7,5,0,2,40,11,157,132,157,11,2,1,48,9,103,65,43,9,9,9,2,698,698,17,1415,12,2,43,22,33,515
9,Ligue_1,2018,12,Nantes,38,13,9,16,48,48,48,48.038438,0.038437999999999306,41.957929,47.296807,-0.7031929999999988,41.070258,0.8876709999999994,10.274389822448562,10.192764525093576,166,182,54.6208,6.620800000000003,Nantes,48,28,0,25,3,517,150,430,725,191,381,45,290,62,106,773,480,493,504,12172,15869,110,806,2439,275,2311,270,89,39,249,63,9,396,0,23611,734,8,6,1,1,79,26,182,151,182,23,5,1,48,8,83,55,29,15,8,8,4,785,785,18,1018,9,0,76,42,27,500
10,Ligue_1,2018,13,Angers,38,10,16,12,44,49,46,47.496038,3.496037999999998,39.750887,46.30528199999999,-2.6947180000000097,42.405612,-2.6547250000000004,16.96153690455383,10.155006730004557,189,204,53.2052,7.205199999999998,Angers,44,27,0,22,5,454,154,420,627,141,331,41,248,55,109,676,400,449,455,11939,15072,69,638,2264,318,2054,277,113,41,179,43,3,447,2,22583,707,10,5,0,5,68,20,166,157,166,19,3,0,49,13,119,86,33,15,5,5,2,823,823,8,935,22,2,51,37,28,558
14,Ligue_1,2018,14,Bordeaux,38,10,11,17,34,42,41,37.2663785,3.2663784999999947,32.681127499999995,52.186512,10.186511999999999,46.86591200000001,-14.184784499999996,11.047981161545449,10.625571141056172,159,188,41.3669,0.36689999999999395,Bordeaux,34,25,0,22,3,427,138,390,659,137,330,30,268,37,114,720,447,545,503,13562,16893,82,685,2386,342,2216,215,78,30,212,60,4,426,0,24515,604,6,5,0,1,46,10,168,153,168,22,5,0,42,10,114,68,45,6,7,7,1,906,906,11,1057,13,1,60,24,17,655
13,Ligue_1,2018,15,Toulouse,38,8,14,16,35,57,38,42.72779600000001,7.727796000000005,34.366949000000005,56.420711,-0.5792889999999957,51.86040499999999,-17.493456,12.262682312033187,9.976165159733805,174,209,43.9835,5.9834999999999985,Toulouse,35,16,0,11,5,434,133,381,629,140,312,40,243,52,126,668,417,558,479,11902,15295,80,751,2332,366,2214,265,101,30,169,32,5,444,1,23113,723,11,7,0,4,50,10,158,144,159,19,6,2,57,9,122,72,51,20,6,6,1,872,872,18,1015,12,2,69,41,18,698
15,Ligue_1,2018,16,Amiens,38,9,11,18,31,52,38,34.630686000000004,3.630686000000004,32.350410000000004,46.755321,-5.244679000000005,39.91454,-7.564129999999998,11.070733603426767,9.500525852298312,146,213,42.3446,4.3446,Amiens,31,22,0,17,5,388,117,393,584,128,285,29,217,44,140,629,384,521,522,11032,14539,75,743,2196,248,2118,199,74,27,190,44,4,405,2,21829,546,3,2,0,1,65,19,137,118,138,19,6,1,52,11,116,71,46,4,9,9,2,813,813,6,979,16,1,65,27,17,477
12,Ligue_1,2018,17,Monaco,38,8,12,18,38,57,36,46.49481819999998,8.494818199999981,42.69446719999999,48.76286300000001,-8.23713699999999,42.657608,0.036859200000001424,11.131900537625484,11.255752799968713,184,169,51.26680000000002,15.266800000000027,Monaco,38,25,0,21,4,467,159,382,748,180,322,41,245,52,86,685,422,528,510,12966,16118,107,635,2197,284,2082,280,111,35,187,48,3,352,2,23659,738,5,4,0,1,57,13,195,164,195,25,8,1,57,8,93,57,35,5,8,8,3,799,799,13,901,11,2,55,40,19,563
16,Ligue_1,2018,18,Dijon,38,9,7,22,31,60,34,36.130932,5.130931999999994,32.9690394,57.61286199999999,-2.3871380000000078,55.332705000000004,-22.3636656,11.05603292373914,10.94207669315166,199,214,37.4682,3.468200000000003,Dijon,31,20,0,16,4,453,144,479,607,157,328,33,255,53,120,675,409,573,448,11999,15337,90,730,2274,341,2156,236,85,27,219,61,4,376,1,22753,637,4,3,0,1,50,12,167,135,167,25,6,0,60,6,113,70,50,16,3,3,0,767,767,13,1208,9,3,59,29,20,592
18,Ligue_1,2018,19,Caen,38,7,12,19,29,54,33,26.9720973,-2.027902700000002,23.931855300000002,61.086346,7.086345999999999,55.00584199999999,-31.073986699999995,12.718814711010806,9.058018483121312,98,224,30.23909999999999,-2.7609000000000097,Caen,29,17,0,13,4,336,97,481,647,133,221,27,169,33,141,711,438,559,504,10501,13748,80,801,2214,268,2233,180,66,21,156,31,8,419,2,21448,475,4,4,0,0,67,16,127,114,127,17,2,1,54,9,142,91,54,4,8,8,2,884,884,5,1305,7,1,50,20,15,529
19,Ligue_1,2018,20,Guingamp,38,5,12,21,28,68,27,39.4550368,11.455036799999995,34.8108968,54.936156700000005,-13.063843300000002,50.37585169999999,-15.5649549,13.766611057392325,9.00381733402865,151,227,44.1193,17.119299999999996,Guingamp,28,21,0,15,6,415,115,415,808,180,304,37,234,49,112,687,433,486,470,10396,13825,104,806,2272,347,2272,238,87,27,177,28,1,477,0,21513,724,6,5,0,1,72,24,194,172,194,17,5,0,68,10,103,60,48,8,6,6,2,705,705,19,1053,7,5,54,31,20,566
2,Serie_A,2018,1,Juventus,38,28,6,4,70,30,90,64.52717999999999,-5.472820000000013,58.436831000000005,35.03205310000001,5.032053100000006,31.98693680000001,26.449894200000006,10.160174461892913,13.964740610341346,290,158,70.92990000000002,-19.070099999999982,Juventus,70,44,0,34,10,610,200,398,871,215,476,59,367,63,130,572,355,471,477,17323,20092,146,557,2166,370,1945,366,138,65,248,66,5,324,1,27208,956,8,7,0,1,48,20,244,177,244,27,6,1,30,16,84,49,35,6,4,4,1,601,601,12,1438,12,0,75,41,43,628
1,Serie_A,2018,2,Napoli,38,24,7,7,74,36,79,68.237943,-5.762056999999999,65.19279300000001,36.50233649999999,0.5023364999999913,33.457179499999995,31.7356135,10.724236356146054,18.070187315701816,344,181,74.4511,-4.548900000000003,Napoli,74,54,0,49,5,705,235,360,775,166,563,76,476,32,107,576,360,410,418,20097,23021,113,406,2364,336,1711,391,153,56,315,83,18,323,0,29976,965,4,3,1,0,19,4,255,188,256,23,9,4,36,14,101,66,38,6,4,4,0,590,590,10,1269,29,2,85,58,34,574
0,Serie_A,2018,3,Atalanta,38,20,9,9,77,46,69,74.42529300000002,-2.5747069999999894,71.38009299999999,41.849468,-4.1505320000000046,38.04301300000001,33.33708,8.926904684413559,13.724031476548813,367,164,71.88260000000002,2.8826000000000107,Atalanta,77,59,0,48,11,641,222,456,801,204,509,83,389,57,95,638,396,445,506,17045,20282,119,639,2467,362,2131,433,169,68,210,55,9,462,3,28126,1173,4,2,1,1,28,6,242,231,244,16,4,0,46,9,92,60,31,10,5,5,0,632,632,16,1102,21,0,71,56,50,652
5,Serie_A,2018,4,Inter,38,20,9,9,57,33,69,66.47384799999999,9.47384799999999,59.622361,38.401340999999995,5.401341000000002,34.594894999999994,25.027466,9.183001992827656,17.12403833156835,311,192,71.74619999999999,2.7461999999999875,Inter,57,36,0,27,9,634,200,308,1091,277,496,70,404,53,104,615,407,468,497,18337,21268,198,539,2222,286,1907,391,142,51,243,58,6,309,3,28656,1052,9,8,0,1,53,13,301,225,302,10,0,0,33,17,98,63,35,7,5,5,0,577,577,1,1244,18,0,64,62,33,514
7,Serie_A,2018,5,AC Milan,38,19,11,8,55,36,68,52.16481300000001,-2.8351869999999906,49.1196927,41.70170099999999,5.701700999999992,37.895201,11.224491700000005,11.936967300692885,14.05629057453722,255,194,60.1064,-7.893599999999998,AC Milan,55,34,0,32,2,586,198,373,751,169,451,52,376,39,109,642,383,445,482,16471,19244,122,507,2166,341,1943,311,122,44,279,80,11,416,1,26713,793,4,3,0,1,46,9,230,159,230,19,5,2,36,12,110,67,39,7,5,5,1,772,772,23,1140,14,1,63,43,28,542
3,Serie_A,2018,6,Roma,38,18,12,8,66,48,66,68.394175,2.3941750000000037,63.82645000000001,52.79382100000002,4.7938210000000145,47.46480500000001,16.361645000000003,13.657052678286998,13.705715562099586,296,219,62.1298,-3.870199999999997,Roma,66,42,0,35,7,622,218,414,855,241,488,65,378,67,154,536,343,461,401,14161,17192,147,751,2222,352,2011,407,154,58,216,65,8,351,1,24532,985,6,6,0,0,57,14,228,180,228,15,6,2,48,10,118,69,49,10,7,7,1,760,760,6,1198,24,0,50,52,38,626
9,Serie_A,2018,7,Torino,38,16,15,7,52,37,63,46.47120500000001,-5.528794999999995,41.903657,48.94320499999999,11.943204999999994,45.136753000000006,-3.2330960000000006,7.6040606308695375,8.572115784590983,219,215,49.8381,-13.161899999999996,Torino,52,31,0,23,8,519,181,448,752,197,379,38,304,43,117,635,394,617,576,11959,15307,142,854,2455,337,2367,301,122,39,220,61,13,453,0,23189,788,6,5,1,0,57,19,182,99,184,26,3,0,37,15,109,73,37,9,5,5,2,763,763,11,1195,12,1,75,37,18,583
6,Serie_A,2018,8,Lazio,38,17,8,13,56,46,59,61.26507900000001,5.265079,56.697329,46.44548200000001,0.4454820000000055,41.868607,14.828722000000004,11.669451189630827,13.172013275267307,337,196,61.0383,2.0383,Lazio,56,35,0,28,7,612,192,430,740,183,480,66,391,51,136,656,404,502,397,14812,18003,114,635,2360,343,2000,372,141,46,242,53,10,334,3,25363,1004,6,6,0,0,41,12,226,191,228,22,2,1,46,10,106,64,42,9,6,6,1,732,732,21,1112,25,1,97,59,27,610
4,Serie_A,2018,9,Sampdoria,38,15,8,15,60,51,53,53.194756000000005,-6.805244000000003,44.05938,54.27488199999999,3.274881999999991,48.04857799999999,-3.9891980000000005,9.506282647281557,12.864331295295296,290,215,50.94820000000002,-2.051799999999986,Sampdoria,60,41,0,35,6,487,179,366,638,139,340,54,269,29,122,647,425,493,522,16167,19436,91,494,2289,277,1904,263,122,53,224,57,7,462,1,26619,761,12,10,0,2,52,14,168,139,168,20,5,2,51,13,99,62,39,20,8,8,1,756,756,13,928,16,1,70,41,35,470
11,Serie_A,2018,10,Bologna,38,11,11,16,48,56,44,48.100653,0.10065299999999412,44.29415300000001,51.05562200000001,-4.944377999999993,48.01042100000001,-3.716268,13.432920082398624,9.090118792411564,200,238,48.95350000000001,4.9535000000000045,Bologna,48,35,0,24,11,500,165,376,735,157,353,47,268,49,142,689,429,516,524,10978,14081,101,773,2188,272,2229,293,119,43,210,49,5,361,1,21739,754,5,5,0,0,51,9,207,151,208,25,7,2,56,10,119,69,52,9,4,4,0,805,805,18,1035,6,1,83,37,29,542
8,Serie_A,2018,11,Sassuolo,38,9,16,13,53,60,43,49.75482300000001,-3.245176999999991,45.94836500000001,61.107331000000016,1.1073310000000165,55.01725240000001,-9.068887400000001,11.569352101445403,11.226541331411863,191,220,45.63980000000001,2.639800000000008,Sassuolo,53,33,0,24,9,513,157,377,660,136,379,54,304,40,110,528,327,528,533,15425,18373,75,483,2127,358,1878,265,105,43,251,55,10,386,2,25562,705,5,5,0,0,40,9,185,177,185,21,6,0,60,12,112,81,32,9,8,8,3,779,779,15,968,15,3,73,42,29,631
16,Serie_A,2018,12,Udinese,38,11,10,17,39,53,43,42.48628299999999,3.4862829999999865,36.21948,62.23432600000002,9.234326000000015,55.38272800000001,-19.163248000000006,14.520379095856688,8.258603130964934,166,290,38.66579999999999,-4.33420000000001,Udinese,39,29,0,23,6,463,130,380,585,145,343,39,278,35,161,653,387,505,477,10680,13702,98,724,2111,331,2147,231,80,31,234,52,8,372,1,21183,639,8,3,1,4,35,10,164,122,168,12,3,0,53,9,133,83,50,1,9,9,0,969,969,36,1074,14,0,66,35,21,559
13,Serie_A,2018,13,SPAL 2013,38,11,9,18,44,56,42,43.28407000000001,-0.7159299999999931,37.193884,54.011208,-1.988792000000004,50.20475,-13.010865999999998,12.367779236372225,10.449170340038398,139,288,44.733999999999995,2.7340000000000018,SPAL 2013,44,30,0,19,11,462,138,385,864,226,349,32,267,52,136,583,374,499,558,13222,16029,156,597,2061,274,1976,282,101,38,180,37,6,398,0,23348,653,8,7,1,0,53,22,196,164,196,15,4,1,56,10,120,72,50,5,5,5,0,800,800,11,938,1,2,37,31,22,493
12,Serie_A,2018,14,Fiorentina,38,8,17,13,47,45,41,54.123063,7.123063000000003,49.55527999999999,44.0784088,-0.9215912000000016,39.510731799999995,10.0445482,9.725814176769411,10.54236862996559,211,194,59.21800000000001,18.21800000000001,Fiorentina,47,24,0,22,2,585,179,412,780,177,443,51,357,59,130,594,370,562,513,12286,15503,108,658,2236,303,2044,345,129,39,242,52,8,375,3,23154,881,6,5,0,1,53,10,236,187,238,15,4,2,45,9,107,56,51,8,6,6,1,830,830,19,1004,18,0,48,49,27,588
17,Serie_A,2018,15,Cagliari,38,10,11,17,36,54,41,40.939495,4.939494999999994,38.65559499999999,63.740840000000006,9.74084,56.12792400000001,-17.472329000000002,10.48832488447744,12.999506442603385,196,292,39.3664,-1.6336000000000013,Cagliari,36,26,0,19,7,436,127,345,794,205,321,38,235,59,125,602,386,573,457,13443,17014,129,872,2228,177,2081,269,95,34,168,33,2,368,2,24195,683,3,2,1,0,50,14,190,173,190,13,5,1,54,7,155,108,46,7,10,10,2,780,780,13,1240,12,2,58,34,21,343
14,Serie_A,2018,16,Parma Calcio 1913,38,10,11,17,41,61,41,41.0986435,0.09864349999999432,37.29218489999999,64.98114400000001,3.981144000000015,58.89079000000002,-21.598605100000004,16.81957508538363,7.936237585238111,128,346,36.7845,-4.215499999999999,Parma Calcio 1913,41,23,0,17,6,355,111,398,512,100,245,44,185,36,183,579,351,493,438,9102,12232,53,584,2083,279,1853,207,82,38,149,30,3,376,5,19324,539,5,4,0,1,47,7,144,127,145,19,4,2,61,10,149,103,53,1,8,8,0,1023,1023,8,1091,11,1,91,32,32,520
15,Serie_A,2018,17,Genoa,38,8,14,16,39,57,38,44.53906780000001,5.539067800000005,40.73264880000001,56.354305000000004,-0.6456950000000035,51.786555,-11.053906199999998,12.17197102737842,9.15807988738573,235,255,44.68179999999999,6.681799999999987,Genoa,39,26,0,22,4,532,152,427,794,173,387,40,295,66,114,670,423,559,485,10258,13670,107,776,2243,286,2192,298,115,35,236,39,4,328,2,20947,780,5,4,0,1,58,14,186,161,187,24,1,0,57,7,117,73,44,5,6,6,1,802,802,21,1026,13,1,65,32,21,498
10,Serie_A,2018,18,Empoli,38,10,8,20,51,70,38,52.061419,1.0614190000000008,46.59641000000001,63.32737999999999,-6.672620000000008,57.237067,-10.640656999999994,14.096073605930854,11.303252408069467,292,265,46.5398,8.5398,Empoli,51,36,0,29,7,457,154,333,636,120,334,56,263,33,133,552,327,458,447,13619,16705,76,445,2167,327,1750,303,122,49,157,35,2,369,2,23704,906,7,4,2,1,25,4,187,149,189,17,1,0,70,5,166,105,64,11,8,8,1,742,742,20,1074,19,4,77,40,34,550
18,Serie_A,2018,19,Frosinone,38,5,10,23,29,69,25,36.1032521,7.103252099999999,32.2967901,64.5936685,-4.406331499999993,60.78729850000001,-28.4905084,14.777898995615477,9.125747001085426,139,335,35.9425,10.942500000000004,Frosinone,29,21,0,14,7,455,126,384,815,195,319,35,258,40,150,572,354,560,541,10502,13736,147,655,2220,212,1941,263,86,24,193,41,5,351,1,20984,547,5,4,0,1,52,10,160,134,161,24,5,0,69,9,149,91,55,4,5,5,0,845,845,8,971,4,2,73,31,16,425
19,Serie_A,2018,20,Chievo,38,2,14,22,25,75,20,36.4763295,11.4763295,31.9085255,62.692868,-12.307131999999996,59.480417,-27.57189149999999,13.518123249549012,11.513253708093975,147,296,35.00010000000001,15.000100000000009,Chievo,25,17,0,15,2,391,117,473,677,152,290,41,235,37,132,620,369,587,482,11615,14887,107,729,2181,197,1990,210,78,22,181,39,3,356,2,21951,530,6,4,0,2,35,11,131,102,133,14,3,1,75,7,141,85,55,1,4,4,2,916,916,13,1201,4,2,78,42,14,361
