team,INT,CR,ACR,CCOP,CCSP,BLK,TKL,FC,FS,P,AW,BR,DR,DW,IBS,OBS,DSP,PK,FKCR,CRN,FKS,SV,AKS,PKC,CL,PUNCH,ALB,ATB,LMT,TOFF,BCS
Bayern Munich,336,777,201,340,71,61,464,312,346,19414,534,2177,425,1753,435,204,317,4,54,287,28,48,11,6,344,3,1292,31,1,88,52
Borussia Dortmund,385,458,114,234,42,79,497,292,389,17828,475,2005,440,1783,301,148,381,4,50,168,17,90,3,5,628,13,981,36,1,64,51
RasenBallsport Leipzig,420,616,156,288,53,70,653,465,400,11421,765,2234,315,2106,345,152,394,7,55,190,18,95,17,6,668,6,864,29,3,87,38
Bayer Leverkusen,364,642,157,305,34,99,598,370,400,18250,574,2317,339,1885,342,195,405,5,38,190,25,92,15,6,642,9,1197,23,0,66,44
Borussia M.Gladbach,310,565,140,258,46,102,500,332,365,14845,447,1937,279,1565,286,175,304,7,39,189,16,115,3,3,588,4,1067,19,2,70,30
Wolfsburg,430,681,176,226,48,95,540,358,445,12164,638,2081,252,1839,269,159,331,5,46,175,15,110,5,6,739,17,1449,16,4,67,37
Eintracht Frankfurt,380,686,155,210,55,103,612,432,353,9861,846,2398,301,2092,296,130,369,4,59,183,11,127,13,1,669,14,1094,20,1,84,45
Werder Bremen,407,676,164,274,39,109,552,437,350,13366,612,2066,210,1710,300,171,327,4,55,168,11,108,5,5,773,14,1086,14,2,40,30
Hoffenheim,400,666,179,364,56,104,574,471,355,13450,541,2112,352,1795,391,222,361,7,30,182,15,123,7,7,603,8,952,17,3,66,42
Fortuna Duesseldorf,427,563,158,230,51,112,635,443,424,10732,656,2019,238,1919,265,168,264,7,42,148,17,117,4,8,751,25,1228,18,2,50,31
Hertha Berlin,382,554,148,229,47,117,537,447,378,11517,713,1991,302,1906,276,129,333,4,39,146,15,107,8,6,764,7,1079,17,0,75,35
Mainz 05,397,646,152,290,43,124,528,430,362,10533,668,2098,317,1862,287,212,393,3,48,150,18,119,7,4,676,11,1127,16,1,83,27
Freiburg,374,546,140,238,40,125,585,425,426,10823,593,1913,242,1815,239,198,303,7,47,155,19,118,9,7,861,15,1136,10,0,52,23
Schalke 04,430,540,161,220,76,120,656,458,412,10363,622,2160,370,2039,269,163,386,9,75,162,18,119,7,6,637,15,970,13,1,77,26
Augsburg,486,612,153,256,48,136,603,464,358,10476,686,2162,212,1829,288,175,352,5,42,146,19,124,7,2,732,7,1037,10,3,85,26
VfB Stuttgart,398,727,188,235,43,116,575,373,400,10270,743,1970,237,1935,245,163,309,1,51,170,16,113,14,3,840,16,981,11,6,67,20
Hannover 96,459,521,119,217,44,124,584,422,422,10483,632,2042,275,1896,231,154,388,3,45,143,13,157,9,7,762,15,1029,9,0,58,17
Nuernberg,354,495,111,179,48,119,551,393,387,9746,647,1894,248,1801,193,168,293,6,55,151,19,115,7,4,792,24,930,8,1,54,15
Manchester City,362,784,154,400,44,63,520,328,305,23654,546,2222,434,1795,449,238,393,4,43,298,21,58,16,4,543,6,1098,35,0,98,53
Liverpool,314,721,173,322,45,78,611,315,354,19964,606,2375,352,1901,381,197,427,7,45,249,20,76,18,1,638,17,1166,38,2,77,54
Chelsea,353,692,133,389,41,73,619,339,429,21958,532,2373,447,2013,379,230,457,5,37,215,30,85,8,2,592,11,1092,62,2,83,34
Tottenham,326,643,166,299,46,112,630,376,368,17716,610,2365,367,1960,327,211,350,4,45,194,23,120,19,5,770,22,1106,25,3,74,35
Arsenal,412,605,126,284,27,118,609,412,460,17331,565,2296,301,1921,316,155,410,5,29,209,11,133,15,7,763,18,1045,25,2,89,39
Manchester United,355,638,128,308,33,128,582,433,409,15796,697,2214,320,1986,311,215,425,12,37,200,27,122,5,6,783,12,1176,28,2,90,36
Wolverhampton Wanderers,501,622,157,268,45,148,719,409,329,12991,821,2468,328,2177,298,180,402,4,44,195,12,100,1,4,824,8,1256,13,2,73,32
Everton,453,814,203,249,68,85,699,432,423,12756,893,2434,327,2316,335,162,468,5,81,215,20,94,15,5,824,13,1032,19,3,69,28
West Ham,457,630,152,240,51,141,723,331,393,12866,643,2444,386,2129,278,164,389,5,24,188,17,148,5,5,855,17,1103,30,4,71,30
Leicester,437,779,167,283,64,96,676,351,385,13638,818,2317,385,2250,300,218,359,7,47,210,19,90,7,5,945,15,1168,28,4,72,27
Watford,428,570,105,244,27,120,660,433,383,11770,773,2330,288,2083,284,154,419,1,70,177,22,127,30,5,956,10,1032,12,7,89,26
Crystal Palace,445,581,140,287,38,141,735,386,402,11706,689,2301,373,2180,313,183,475,11,45,205,16,113,7,5,939,25,917,12,2,78,25
Newcastle United,507,711,170,249,42,134,715,423,335,9829,804,2321,233,2066,269,178,404,3,42,181,16,95,14,6,1120,15,1122,17,3,59,21
Bournemouth,369,612,168,240,47,152,523,340,450,12459,716,2182,290,1956,294,153,356,9,46,191,16,110,12,5,1024,8,805,27,5,57,38
Burnley,367,692,167,174,49,222,585,360,358,9140,1050,2236,207,2164,256,107,314,2,51,140,14,140,19,3,1081,11,1189,13,5,106,25
Southampton,547,666,162,256,54,153,699,420,346,10575,776,2306,284,2092,275,210,378,5,48,193,20,114,11,3,1067,20,885,19,4,61,25
Brighton,464,637,185,207,52,170,681,463,307,10552,836,2265,263,2069,226,144,338,6,51,156,12,111,3,10,921,9,1146,4,4,90,23
Cardiff,533,564,148,218,56,147,655,374,394,6530,978,2265,259,2267,252,166,332,4,61,168,13,141,17,7,980,11,873,10,3,77,19
Fulham,434,611,143,278,48,144,597,423,345,14212,750,2342,353,2033,247,208,486,3,20,161,10,147,16,7,970,29,1096,14,0,90,22
Huddersfield,531,769,168,222,48,130,706,420,371,12059,860,2352,229,2150,232,170,401,1,62,162,15,114,8,8,657,21,1198,5,1,63,10
Barcelona,391,394,84,323,21,101,538,410,559,22340,461,2271,442,1979,346,216,435,9,38,205,50,95,6,2,505,9,1303,61,1,102,50
Atletico Madrid,463,590,132,259,54,94,785,476,457,14111,693,2311,358,2272,259,187,413,4,48,217,21,110,5,5,776,10,1045,29,1,80,32
Real Madrid,373,762,176,370,55,78,626,446,554,19536,499,2221,453,2103,387,209,356,9,58,221,19,93,9,8,548,5,1535,26,2,112,40
Valencia,417,715,182,278,53,120,599,463,521,12700,618,2290,331,2040,306,172,337,7,45,196,18,121,4,8,815,11,1150,28,1,75,35
Sevilla,365,812,188,312,32,114,600,536,468,13450,679,2336,349,2062,347,185,391,6,41,223,11,110,9,7,765,11,1164,32,3,111,48
Getafe,453,638,156,210,50,81,605,642,507,7149,868,2370,298,2240,274,128,366,6,60,158,13,102,18,7,855,30,1188,19,1,102,27
Espanyol,409,544,115,276,32,134,657,531,514,12998,618,2168,311,2069,274,206,374,4,33,175,25,121,2,8,891,11,1161,33,0,84,29
Athletic Club,451,727,169,223,49,93,644,580,499,12162,963,2286,284,2343,270,119,344,7,62,153,6,78,15,5,770,18,1185,19,4,74,24
Real Sociedad,425,627,181,246,43,109,582,492,554,13497,723,2283,404,2229,261,168,466,10,64,178,16,99,12,3,789,11,1086,23,2,92,30
Alaves,390,729,181,227,45,117,646,551,502,8748,895,2245,268,2275,261,168,339,3,60,145,16,121,17,6,1001,17,1101,5,5,58,20
Real Betis,361,590,130,256,40,80,616,435,555,18503,481,2066,436,2063,261,183,392,7,41,186,31,103,17,5,641,10,1110,23,6,79,25
Eibar,368,1057,266,272,76,53,640,522,397,11782,1029,2576,338,2364,353,179,388,8,73,223,20,83,30,4,638,12,1531,7,5,92,34
Leganes,432,744,202,234,47,84,609,541,404,9814,953,2252,245,2167,284,136,305,5,60,139,14,92,10,4,865,27,1209,8,1,75,17
Levante,422,674,136,233,34,151,572,501,494,9857,497,2276,394,1922,273,172,428,7,52,202,32,162,13,9,795,18,1019,25,4,85,39
Villarreal,390,618,135,288,42,142,669,518,418,12802,644,2161,345,2039,325,171,340,6,32,168,8,138,12,5,823,13,1198,27,1,95,27
Celta Vigo,382,659,134,271,35,105,635,458,491,14067,685,2164,376,2159,285,168,371,7,55,163,22,107,15,7,810,13,1109,13,1,90,27
Real Valladolid,387,804,151,232,42,113,715,521,528,11047,619,2264,285,2116,235,179,348,7,57,201,24,107,3,9,780,11,1172,7,5,96,15
Girona,432,743,175,209,48,124,614,537,533,12152,776,2264,316,2206,247,151,370,6,62,136,21,156,7,8,846,11,1155,18,2,60,25
SD Huesca,436,770,186,258,50,107,711,579,449,9690,773,2265,312,2202,291,179,355,7,51,168,19,114,3,9,883,9,1118,9,6,94,27
Rayo Vallecano,434,783,172,254,56,77,651,567,460,11411,553,2306,532,2175,252,207,494,5,52,186,22,114,11,11,861,13,1036,13,3,71,25
Paris Saint Germain,342,589,132,310,40,93,702,474,456,20985,417,2256,452,1998,398,165,454,12,35,238,29,101,4,6,486,6,878,76,2,92,75
Lille,387,576,148,283,52,105,627,479,523,13490,584,2290,360,2059,286,214,465,13,61,164,26,94,12,10,680,6,911,32,1,39,42
Lyon,359,682,199,382,58,136,640,442,479,17918,634,2259,457,2180,411,262,462,10,47,227,48,105,11,5,615,8,991,34,3,94,36
Saint-Etienne,439,771,165,279,50,97,675,455,461,13981,629,2216,308,2045,302,199,409,5,59,224,18,115,6,9,734,17,1207,22,3,60,34
Marseille,407,826,217,287,73,98,780,502,459,14824,720,2188,350,2282,332,200,371,5,66,225,21,87,11,12,646,13,1013,25,6,45,30
Montpellier,487,749,194,284,57,105,758,536,481,12438,773,2379,305,2271,286,226,386,3,57,171,29,107,10,5,709,22,1373,12,1,58,27
Nice,457,495,125,254,55,108,663,425,527,17038,541,2254,501,2196,245,198,413,9,37,172,31,122,4,6,733,15,1048,13,0,40,16
Reims,490,634,148,238,34,111,760,532,469,10625,676,2343,318,2189,249,157,332,2,54,164,14,111,12,7,819,15,1038,17,3,79,18
Nimes,440,736,172,267,60,120,724,487,500,10145,732,2303,359,2273,291,231,407,6,72,202,26,123,12,5,772,15,1049,16,0,40,30
Rennes,388,663,143,259,31,119,654,490,496,13084,647,2269,389,2151,267,206,379,10,65,191,47,107,15,5,731,7,1026,17,1,61,29
Strasbourg,418,721,168,225,42,127,651,512,411,13595,654,2250,285,1969,235,168,404,7,40,157,11,103,9,9,698,17,1415,12,2,43,33
Nantes,430,725,191,290,62,106,773,493,504,12172,806,2439,275,2311,270,249,396,8,79,182,23,83,15,8,785,18,1018,9,0,76,27
Angers,420,627,141,248,55,109,676,449,455,11939,638,2264,318,2054,277,179,447,10,68,166,19,119,15,5,823,8,935,22,2,51,28
Bordeaux,390,659,137,268,37,114,720,545,503,13562,685,2386,342,2216,215,212,426,6,46,168,22,114,6,7,906,11,1057,13,1,60,17
Toulouse,381,629,140,243,52,126,668,558,479,11902,751,2332,366,2214,265,169,444,11,50,158,19,122,20,6,872,18,1015,12,2,69,18
Amiens,393,584,128,217,44,140,629,521,522,11032,743,2196,248,2118,199,190,405,3,65,137,19,116,4,9,813,6,979,16,1,65,17
Monaco,382,748,180,245,52,86,685,528,510,12966,635,2197,284,2082,280,187,352,5,57,195,25,93,5,8,799,13,901,11,2,55,19
Dijon,479,607,157,255,53,120,675,573,448,11999,730,2274,341,2156,236,219,376,4,50,167,25,113,16,3,767,13,1208,9,3,59,20
Caen,481,647,133,169,33,141,711,559,504,10501,801,2214,268,2233,180,156,419,4,67,127,17,142,4,8,884,5,1305,7,1,50,15
Guingamp,415,808,180,234,49,112,687,486,470,10396,806,2272,347,2272,238,177,477,6,72,194,17,103,8,6,705,19,1053,7,5,54,20
Juventus,398,871,215,367,63,130,572,471,477,17323,557,2166,370,1945,366,248,324,8,48,244,27,84,6,4,601,12,1438,12,0,75,43
Napoli,360,775,166,476,32,107,576,410,418,20097,406,2364,336,1711,391,315,323,4,19,255,23,101,6,4,590,10,1269,29,2,85,34
Atalanta,456,801,204,389,57,95,638,445,506,17045,639,2467,362,2131,433,210,462,4,28,242,16,92,10,5,632,16,1102,21,0,71,50
Inter,308,1091,277,404,53,104,615,468,497,18337,539,2222,286,1907,391,243,309,9,53,301,10,98,7,5,577,1,1244,18,0,64,33
AC Milan,373,751,169,376,39,109,642,445,482,16471,507,2166,341,1943,311,279,416,4,46,230,19,110,7,5,772,23,1140,14,1,63,28
Roma,414,855,241,378,67,154,536,461,401,14161,751,2222,352,2011,407,216,351,6,57,228,15,118,10,7,760,6,1198,24,0,50,38
Torino,448,752,197,304,43,117,635,617,576,11959,854,2455,337,2367,301,220,453,6,57,182,26,109,9,5,763,11,1195,12,1,75,18
Lazio,430,740,183,391,51,136,656,502,397,14812,635,2360,343,2000,372,242,334,6,41,226,22,106,9,6,732,21,1112,25,1,97,27
Sampdoria,366,638,139,269,29,122,647,493,522,16167,494,2289,277,1904,263,224,462,12,52,168,20,99,20,8,756,13,928,16,1,70,35
Bologna,376,735,157,268,49,142,689,516,524,10978,773,2188,272,2229,293,210,361,5,51,207,25,119,9,4,805,18,1035,6,1,83,29
Sassuolo,377,660,136,304,40,110,528,528,533,15425,483,2127,358,1878,265,251,386,5,40,185,21,112,9,8,779,15,968,15,3,73,29
Udinese,380,585,145,278,35,161,653,505,477,10680,724,2111,331,2147,231,234,372,8,35,164,12,133,1,9,969,36,1074,14,0,66,21
SPAL 2013,385,864,226,267,52,136,583,499,558,13222,597,2061,274,1976,282,180,398,8,53,196,15,120,5,5,800,11,938,1,2,37,22
Fiorentina,412,780,177,357,59,130,594,562,513,12286,658,2236,303,2044,345,242,375,6,53,236,15,107,8,6,830,19,1004,18,0,48,27
Cagliari,345,794,205,235,59,125,602,573,457,13443,872,2228,177,2081,269,168,368,3,50,190,13,155,7,10,780,13,1240,12,2,58,21
Parma Calcio 1913,398,512,100,185,36,183,579,493,438,9102,584,2083,279,1853,207,149,376,5,47,144,19,149,1,8,1023,8,1091,11,1,91,32
Genoa,427,794,173,295,66,114,670,559,485,10258,776,2243,286,2192,298,236,328,5,58,186,24,117,5,6,802,21,1026,13,1,65,21
Empoli,333,636,120,263,33,133,552,458,447,13619,445,2167,327,1750,303,157,369,7,25,187,17,166,11,8,742,20,1074,19,4,77,34
Frosinone,384,815,195,258,40,150,572,560,541,10502,655,2220,212,1941,263,193,351,5,52,160,24,149,4,5,845,8,971,4,2,73,16
Chievo,473,677,152,235,37,132,620,587,482,11615,729,2181,197,1990,210,181,356,6,35,131,14,141,1,4,916,13,1201,4,2,78,14
