Wk,Day,Date,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Fri,8/10/18,Marseille,2.6,4–0,0.3,Toulouse,60756,Orange Vélodrome,Ruddy Buquet
1,Sat,8/11/18,Nantes,1.7,1–3,2.2,Monaco,32760,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard
1,Sat,8/11/18,Montpellier,2,1–2,1.9,Dijon,12765,Stade de la Mosson,Florent Batta
1,Sat,8/11/18,Angers,2.5,3–4,1.9,Nîmes,9534,Stade Raymond Kopa,Antony Gautier
1,Sat,8/11/18,Saint-Étienne,1,2–1,2,Guingamp,26006,Stade Geoffroy-Guichard,Amaury Delerue
1,Sat,8/11/18,Nice,1.4,0–1,0.6,Reims,21421,Stade de Nice,Johan Hamel
1,Sat,8/11/18,Lille,1.5,3–1,0.5,Rennes,25708,Stade Pierre-Mauroy,Willy Delajod
1,Sun,8/12/18,Lyon,1,2–0,0.5,Amiens,48263,Groupama Stadium,Franck Schneider
1,Sun,8/12/18,Bordeaux,0.2,0–2,1.6,Strasbourg,23079,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem
1,Sun,8/12/18,Paris S-G,2.6,3–0,0.2,Caen,47289,Parc des Princes,Benoît Bastien
,,,,,,,,,,
2,Fri,8/17/18,Reims,0.6,1–0,2,Lyon,18917,Stade Auguste-Delaune II,Ruddy Buquet
2,Sat,8/18/18,Guingamp,1.2,1–3,2.4,Paris S-G,19003,Stade du Roudourou,Clément Turpin
2,Sat,8/18/18,Dijon,3.2,2–0,0.2,Nantes,13617,Stade Gaston Gérard,Jeremy Stinat
2,Sat,8/18/18,Rennes,0.5,1–0,0.5,Angers,19300,Roazhon Park,Olivier Thual
2,Sat,8/18/18,Caen,1.3,1–1,0.8,Nice,16132,Stade Michel d'Ornano,Eric Wattellier
2,Sat,8/18/18,Amiens,1.2,1–2,0.3,Montpellier,10402,Stade de la Licorne,Karim Abed
2,Sat,8/18/18,Monaco,1.4,0–0,0.6,Lille,11140,Stade Louis II.,Thomas Léonard
2,Sun,8/19/18,Strasbourg,0.9,1–1,0.6,Saint-Étienne,25385,Stade de la Meinau,Benoît Millot
2,Sun,8/19/18,Toulouse,1.9,2–1,1.5,Bordeaux,15387,Stadium Municipal,François Letexier
2,Sun,8/19/18,Nîmes,1.7,3–1,1,Marseille,15285,Stade des Costières,Benoît Bastien
,,,,,,,,,,
3,Fri,8/24/18,Lyon,1.5,2–0,0.6,Strasbourg,47341,Groupama Stadium,Amaury Delerue
3,Sat,8/25/18,Paris S-G,1.8,3–1,1.7,Angers,47105,Parc des Princes,Jérôme Miguelgorry
3,Sat,8/25/18,Nantes,1.4,1–1,0.4,Caen,19674,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem
3,Sat,8/25/18,Amiens,1.5,4–1,0.8,Reims,10709,Stade de la Licorne,Florent Batta
3,Sat,8/25/18,Nice,1.8,0–4,1.5,Dijon,17923,Stade de Nice,Willy Delajod
3,Sat,8/25/18,Montpellier,0.8,0–0,0.3,Saint-Étienne,14777,Stade de la Mosson,Jérôme Brisard
3,Sat,8/25/18,Toulouse,2.4,1–0,0.5,Nîmes,11746,Stadium Municipal,Franck Schneider
3,Sun,8/26/18,Lille,1.7,3–0,0.7,Guingamp,27230,Stade Pierre-Mauroy,Johan Hamel
3,Sun,8/26/18,Bordeaux,2.5,2–1,0.7,Monaco,21607,Stade Matmut-Atlantique,Clément Turpin
3,Sun,8/26/18,Marseille,1.4,2–2,2.4,Rennes,53471,Orange Vélodrome,Antony Gautier
,,,,,,,,,,
4,Fri,8/31/18,Lyon,2,0–1,0.5,Nice,53438,Groupama Stadium,François Letexier
4,Sat,9/1/18,Nîmes,1.5,2–4,2.4,Paris S-G,15311,Stade des Costières,Jérôme Brisard
4,Sat,9/1/18,Angers,1.1,1–0,1.4,Lille,9245,Stade Raymond Kopa,Eric Wattellier
4,Sat,9/1/18,Strasbourg,1.6,2–3,1,Nantes,25091,Stade de la Meinau,Olivier Thual
4,Sat,9/1/18,Guingamp,2.2,1–2,1.1,Toulouse,12327,Stade du Roudourou,Karim Abed
4,Sat,9/1/18,Dijon,1.2,0–2,1.6,Caen,13382,Stade Gaston Gérard,Nicolas Rainville
4,Sat,9/1/18,Reims,2.1,0–1,0.5,Montpellier,12042,Stade Auguste-Delaune II,Jeremy Stinat
4,Sun,9/2/18,Saint-Étienne,0.7,0–0,0.3,Amiens,30146,Stade Geoffroy-Guichard,Thomas Léonard
4,Sun,9/2/18,Rennes,1.9,2–0,0.5,Bordeaux,23817,Roazhon Park,Benoît Bastien
4,Sun,9/2/18,Monaco,1.6,2–3,1.4,Marseille,14269,Stade Louis II.,Benoît Millot
,,,,,,,,,,
5,Fri,9/14/18,Nice,1.2,2–1,1.1,Rennes,16887,Stade de Nice,Jérôme Miguelgorry
5,Fri,9/14/18,Paris S-G,2.4,4–0,0.7,Saint-Étienne,46549,Parc des Princes,Franck Schneider
5,Sat,9/15/18,Caen,1.8,2–2,1.1,Lyon,17676,Stade Michel d'Ornano,Johan Hamel
5,Sat,9/15/18,Dijon,1.4,1–3,1.9,Angers,12275,Stade Gaston Gérard,Hakim Ben El Hadj Salem
5,Sat,9/15/18,Montpellier,0.4,1–1,0.5,Strasbourg,10630,Stade de la Mosson,Willy Delajod
5,Sat,9/15/18,Toulouse,1.2,1–1,0.6,Monaco,16689,Stadium Municipal,Ruddy Buquet
5,Sat,9/15/18,Amiens,1.4,2–3,2.8,Lille,11569,Stade de la Licorne,Nicolas Rainville
5,Sun,9/16/18,Nantes,0.9,0–0,0.7,Reims,18981,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier
5,Sun,9/16/18,Bordeaux,1.3,3–3,1.6,Nîmes,15895,Stade Matmut-Atlantique,Antony Gautier
5,Sun,9/16/18,Marseille,1.9,4–0,0.1,Guingamp,50450,Orange Vélodrome,Amaury Delerue
,,,,,,,,,,
6,Fri,9/21/18,Monaco,1.7,1–1,0.8,Nîmes,6837,Stade Louis II.,Amaury Delerue
6,Sat,9/22/18,Lille,0.6,2–1,1.6,Nantes,27353,Stade Pierre-Mauroy,Benoît Bastien
6,Sat,9/22/18,Saint-Étienne,3.1,2–1,0.6,Caen,23895,Stade Geoffroy-Guichard,Ruddy Buquet
6,Sat,9/22/18,Montpellier,1.9,1–0,0.6,Nice,11015,Stade de la Mosson,Thomas Léonard
6,Sat,9/22/18,Angers,0.7,0–0,0.4,Toulouse,10021,Stade Raymond Kopa,Florent Batta
6,Sat,9/22/18,Reims,0.9,0–0,0.2,Dijon,11523,Stade Auguste-Delaune II,Jérôme Brisard
6,Sat,9/22/18,Strasbourg,1.1,3–1,0.8,Amiens,24683,Stade de la Meinau,Jeremy Stinat
6,Sun,9/23/18,Rennes,0.9,1–3,1.4,Paris S-G,29205,Roazhon Park,Hakim Ben El Hadj Salem
6,Sun,9/23/18,Guingamp,1.9,1–3,1,Bordeaux,14772,Stade du Roudourou,Franck Schneider
6,Sun,9/23/18,Lyon,2.6,4–2,0.5,Marseille,57287,Groupama Stadium,Clément Turpin
,,,,,,,,,,
7,Tue,9/25/18,Monaco,0.8,0–1,0.4,Angers,5502,Stade Louis II.,Willy Delajod
7,Tue,9/25/18,Nantes,1,1–2,1.1,Nice,16604,Stade de la Beaujoire - Louis Fonteneau,Mikael Lesage
7,Tue,9/25/18,Toulouse,1.2,2–3,1.9,Saint-Étienne,14008,Stadium Municipal,Amaury Delerue
7,Wed,9/26/18,Caen,0.7,2–2,1.7,Montpellier,14402,Stade Michel d'Ornano,Antony Gautier
7,Wed,9/26/18,Dijon,1.5,0–3,2.7,Lyon,14651,Stade Gaston Gérard,Jérôme Miguelgorry
7,Wed,9/26/18,Marseille,1.4,3–2,0.7,Strasbourg,47099,Orange Vélodrome,François Letexier
7,Wed,9/26/18,Bordeaux,1,1–0,1.6,Lille,17395,Stade Matmut-Atlantique,Karim Abed
7,Wed,9/26/18,Amiens,1,2–1,1.2,Rennes,10398,Stade de la Licorne,Johan Hamel
7,Wed,9/26/18,Nîmes,1,0–0,0.5,Guingamp,13415,Stade des Costières,Benoît Millot
7,Wed,9/26/18,Paris S-G,3.3,4–1,0.4,Reims,47237,Parc des Princes,Olivier Thual
,,,,,,,,,,
8,Fri,9/28/18,Saint-Étienne,1.8,2–0,2.9,Monaco,26486,Stade Geoffroy-Guichard,Jérôme Brisard
8,Sat,9/29/18,Nice,0.4,0–3,2.6,Paris S-G,33138,Stade de Nice,Clément Turpin
8,Sat,9/29/18,Caen,1.4,1–0,0.4,Amiens,15007,Stade Michel d'Ornano,Benoît Bastien
8,Sat,9/29/18,Lyon,2.6,1–1,1.3,Nantes,50319,Groupama Stadium,Franck Schneider
8,Sat,9/29/18,Reims,0.6,0–0,0.2,Bordeaux,13406,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem
8,Sat,9/29/18,Strasbourg,1,3–0,1.1,Dijon,25060,Stade de la Meinau,Eric Wattellier
8,Sat,9/29/18,Angers,0.7,0–1,1.2,Guingamp,9483,Stade Raymond Kopa,Nicolas Rainville
8,Sun,9/30/18,Rennes,2.4,1–1,0.4,Toulouse,21173,Roazhon Park,Thomas Léonard
8,Sun,9/30/18,Montpellier,2.6,3–0,0.8,Nîmes,20054,Stade de la Mosson,Ruddy Buquet
8,Sun,9/30/18,Lille,2.8,3–0,0.6,Marseille,41623,Stade Pierre-Mauroy,Mikael Lesage
,,,,,,,,,,
9,Fri,10/5/18,Toulouse,1.3,1–1,1,Nice,14162,Stadium Municipal,Willy Delajod
9,Sat,10/6/18,Lille,0.5,3–1,1.7,Saint-Étienne,31263,Stade Pierre-Mauroy,Jérôme Miguelgorry
9,Sat,10/6/18,Amiens,0.4,1–0,0.5,Dijon,10194,Stade de la Licorne,Florent Batta
9,Sat,10/6/18,Nîmes,1.1,0–0,1.5,Reims,12958,Stade des Costières,Karim Abed
9,Sat,10/6/18,Angers,2.3,2–2,1.1,Strasbourg,8930,Stade Raymond Kopa,Johan Hamel
9,Sat,10/6/18,Guingamp,0.8,1–1,0.9,Montpellier,13643,Stade du Roudourou,Jeremy Stinat
9,Sun,10/7/18,Bordeaux,1.5,3–0,0.9,Nantes,18307,Stade Matmut-Atlantique,François Letexier
9,Sun,10/7/18,Marseille,2.1,2–0,1,Caen,55935,Orange Vélodrome,Benoît Millot
9,Sun,10/7/18,Monaco,0.4,1–2,1.5,Rennes,6268,Stade Louis II.,Olivier Thual
9,Sun,10/7/18,Paris S-G,3.7,5–0,1.8,Lyon,47443,Parc des Princes,Antony Gautier
,,,,,,,,,,
10,Fri,10/19/18,Lyon,2.2,2–0,1.3,Nîmes,42896,Groupama Stadium,Olivier Thual
10,Sat,10/20/18,Paris S-G,1.6,5–0,0.6,Amiens,47497,Parc des Princes,Mikael Lesage
10,Sat,10/20/18,Caen,0.5,0–0,0.9,Guingamp,16009,Stade Michel d'Ornano,Hakim Ben El Hadj Salem
10,Sat,10/20/18,Dijon,1.7,1–2,1.8,Lille,13004,Stade Gaston Gérard,Thomas Léonard
10,Sat,10/20/18,Reims,1.1,1–1,1.8,Angers,10954,Stade Auguste-Delaune II,Eric Wattellier
10,Sat,10/20/18,Strasbourg,1.1,2–1,1.4,Monaco,25358,Stade de la Meinau,Nicolas Rainville
10,Sat,10/20/18,Nantes,2.2,4–0,0.6,Toulouse,22613,Stade de la Beaujoire - Louis Fonteneau,Benoît Bastien
10,Sun,10/21/18,Montpellier,1.6,2–0,1.2,Bordeaux,12491,Stade de la Mosson,Franck Schneider
10,Sun,10/21/18,Saint-Étienne,1.6,1–1,1.9,Rennes,29557,Stade Geoffroy-Guichard,Clément Turpin
10,Sun,10/21/18,Nice,0.9,0–1,0.5,Marseille,30754,Stade de Nice,Amaury Delerue
,,,,,,,,,,
11,Fri,10/26/18,Nîmes,1.2,1–1,1,Saint-Étienne,15412,Stade des Costières,François Letexier
11,Sat,10/27/18,Angers,1,1–2,1.8,Lyon,14186,Stade Raymond Kopa,Ruddy Buquet
11,Sat,10/27/18,Lille,0.8,1–0,0.7,Caen,33362,Stade Pierre-Mauroy,Florent Batta
11,Sat,10/27/18,Toulouse,1.1,0–3,2.1,Montpellier,14100,Stadium Municipal,Karim Abed
11,Sat,10/27/18,Amiens,1.1,1–2,1.7,Nantes,11384,Stade de la Licorne,Jeremy Stinat
11,Sat,10/27/18,Monaco,1.1,2–2,0.5,Dijon,7139,Stade Louis II.,Jérôme Miguelgorry
11,Sat,10/27/18,Guingamp,1.4,1–1,1.8,Strasbourg,13643,Stade du Roudourou,Willy Delajod
11,Sun,10/28/18,Rennes,0.7,0–2,0.2,Reims,22710,Roazhon Park,Benoît Millot
11,Sun,10/28/18,Bordeaux,2.2,0–1,1.5,Nice,20730,Stade Matmut-Atlantique,Jérôme Brisard
11,Sun,10/28/18,Marseille,0.5,0–2,1.4,Paris S-G,64696,Orange Vélodrome,Benoît Bastien
,,,,,,,,,,
12,Fri,11/2/18,Paris S-G,2.4,2–1,0.9,Lille,47549,Parc des Princes,François Letexier
12,Sat,11/3/18,Lyon,0.3,1–1,1.5,Bordeaux,46653,Groupama Stadium,Benoît Millot
12,Sat,11/3/18,Strasbourg,1.2,1–1,1.2,Toulouse,25034,Stade de la Meinau,Jérôme Miguelgorry
12,Sat,11/3/18,Caen,1.8,1–2,2,Rennes,17284,Stade Michel d'Ornano,Amaury Delerue
12,Sat,11/3/18,Dijon,1.2,0–4,1.7,Nîmes,12113,Stade Gaston Gérard,Franck Schneider
12,Sat,11/3/18,Nice,1,1–0,1,Amiens,15259,Stade de Nice,Johan Hamel
12,Sat,11/3/18,Reims,1.2,1–0,0.4,Monaco,16005,Stade Auguste-Delaune II,Hakim Ben El Hadj Salem
12,Sun,11/4/18,Nantes,2.2,5–0,0.2,Guingamp,25753,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard
12,Sun,11/4/18,Saint-Étienne,2.2,4–3,1.2,Angers,22983,Stade Geoffroy-Guichard,Thomas Léonard
12,Sun,11/4/18,Montpellier,1.2,3–0,0.8,Marseille,19683,Stade de la Mosson,Antony Gautier
,,,,,,,,,,
13,Fri,11/9/18,Lille,1.3,0–0,0.1,Strasbourg,27544,Stade Pierre-Mauroy,Olivier Thual
13,Sat,11/10/18,Guingamp,1.3,2–4,1.1,Lyon,14171,Stade du Roudourou,Mikael Lesage
13,Sat,11/10/18,Angers,0.8,1–0,0.3,Montpellier,8342,Stade Raymond Kopa,Jeremy Stinat
13,Sat,11/10/18,Saint-Étienne,1.1,2–0,0.9,Reims,22838,Stade Geoffroy-Guichard,Florent Batta
13,Sat,11/10/18,Nîmes,1,0–1,0.8,Nice,14290,Stade des Costières,Benoît Bastien
13,Sat,11/10/18,Toulouse,1.8,0–1,0.5,Amiens,13553,Stadium Municipal,Eric Wattellier
13,Sun,11/11/18,Bordeaux,1.2,0–0,0.5,Caen,15352,Stade Matmut-Atlantique,Nicolas Rainville
13,Sun,11/11/18,Rennes,1.9,1–1,0.2,Nantes,23270,Roazhon Park,Karim Abed
13,Sun,11/11/18,Marseille,3,2–0,0.5,Dijon,47430,Orange Vélodrome,Willy Delajod
13,Sun,11/11/18,Monaco,1,0–4,4.1,Paris S-G,12533,Stade Louis II.,Ruddy Buquet
,,,,,,,,,,
14,Fri,11/23/18,Lyon,0.8,1–0,1.1,Saint-Étienne,55701,Groupama Stadium,Antony Gautier
14,Sat,11/24/18,Paris S-G,1.4,1–0,0.5,Toulouse,47244,Parc des Princes,Hakim Ben El Hadj Salem
14,Sat,11/24/18,Caen,1.1,0–1,0.9,Monaco,15013,Stade Michel d'Ornano,Thomas Léonard
14,Sat,11/24/18,Dijon,0.8,0–0,0.5,Bordeaux,12285,Stade Gaston Gérard,François Letexier
14,Sat,11/24/18,Nantes,1.8,1–1,0.8,Angers,23682,Stade de la Beaujoire - Louis Fonteneau,Clément Turpin
14,Sat,11/24/18,Strasbourg,1.2,0–1,1.1,Nîmes,25128,Stade de la Meinau,Benoît Millot
14,Sat,11/24/18,Reims,0.6,2–1,1.3,Guingamp,10028,Stade Auguste-Delaune II,Johan Hamel
14,Sun,11/25/18,Montpellier,2,2–2,1.9,Rennes,10761,Stade de la Mosson,Jérôme Brisard
14,Sun,11/25/18,Nice,0.9,2–0,0.3,Lille,18211,Stade de Nice,Franck Schneider
14,Sun,11/25/18,Amiens,1,1–3,2.4,Marseille,11932,Stade de la Licorne,Jérôme Miguelgorry
,,,,,,,,,,
15,Fri,11/30/18,Saint-Étienne,1.9,3–0,0.4,Nantes,21884,Stade Geoffroy-Guichard,Jérôme Brisard
15,Sat,12/1/18,Lille,1,2–2,2.8,Lyon,38755,Stade Pierre-Mauroy,Benoît Bastien
15,Sat,12/1/18,Nîmes,1.6,3–0,1.1,Amiens,12159,Stade des Costières,Karim Abed
15,Sat,12/1/18,Angers,1.2,1–1,0.8,Caen,8523,Stade Raymond Kopa,Willy Delajod
15,Sat,12/1/18,Guingamp,0.8,0–0,0.5,Nice,12671,Stade du Roudourou,Ruddy Buquet
15,Sat,12/1/18,Monaco,0.9,1–2,1.1,Montpellier,6725,Stade Louis II.,Olivier Thual
15,Sun,12/2/18,Toulouse,0.6,2–2,2.1,Dijon,10279,Stadium Municipal,Jérôme Miguelgorry
15,Sun,12/2/18,Marseille,1,0–0,0.6,Reims,41932,Orange Vélodrome,Nicolas Rainville
15,Sun,12/2/18,Rennes,0.6,1–4,3.3,Strasbourg,19867,Roazhon Park,Eric Wattellier
15,Sun,12/2/18,Bordeaux,1,2–2,2,Paris S-G,40841,Stade Matmut-Atlantique,Franck Schneider
,,,,,,,,,,
16,Tue,12/4/18,Amiens,0.7,0–2,1.9,Monaco,11048,Stade de la Licorne,Jérôme Brisard
16,Tue,12/4/18,Nice,1.6,0–0,0.4,Angers,14123,Stade de Nice,Hakim Ben El Hadj Salem
16,Tue,12/4/18,Montpellier,0.9,0–1,1.2,Lille,12486,Stade de la Mosson,Mikael Lesage
16,Wed,12/5/18,Bordeaux,2.1,3–2,1.9,Saint-Étienne,23375,Stade Matmut-Atlantique,Clément Turpin
16,Wed,12/5/18,Reims,1.5,0–1,1,Toulouse,10609,Stade Auguste-Delaune II,Jeremy Stinat
16,Wed,12/5/18,Dijon,0.4,2–1,1,Guingamp,11711,Stade Gaston Gérard,Thomas Léonard
16,Wed,12/5/18,Lyon,1.5,0–2,1.5,Rennes,47278,Groupama Stadium,Johan Hamel
16,Wed,12/5/18,Caen,0.9,1–2,1.8,Nîmes,14501,Stade Michel d'Ornano,Florent Batta
16,Wed,12/5/18,Nantes,1.1,3–2,1.5,Marseille,32663,Stade de la Beaujoire - Louis Fonteneau,François Letexier
16,Wed,12/5/18,Strasbourg,0.9,1–1,1.7,Paris S-G,25702,Stade de la Meinau,Antony Gautier
,,,,,,,,,,
17,Sat,12/8/18,Guingamp,1.2,1–2,1.6,Amiens,14089,Stade du Roudourou,Benoît Bastien
17,Sat,12/8/18,Rennes,2.3,2–0,0.7,Dijon,16975,Roazhon Park,Nicolas Rainville
17,Sun,12/9/18,Strasbourg,1.3,2–2,0.3,Caen,25048,Stade de la Meinau,Olivier Thual
17,Sun,12/9/18,Lille,1.5,1–1,1.1,Reims,26826,Stade Pierre-Mauroy,Willy Delajod
,,,,,,,,,,
18,Sat,12/15/18,Reims,0.7,2–1,0.7,Strasbourg,12171,Stade Auguste-Delaune II,Florent Batta
18,Sun,12/16/18,Nîmes,1.1,2–3,1,Lille,13428,Stade des Costières,Hakim Ben El Hadj Salem
18,Sun,12/16/18,Nice,3.5,1–1,1.1,Saint-Étienne,19250,Stade de Nice,Thomas Léonard
18,Sun,12/16/18,Lyon,1.3,3–0,0.1,Monaco,46477,Groupama Stadium,Clément Turpin
18,Tue,12/18/18,Caen,1.6,2–1,1,Toulouse,11631,Stade Michel d'Ornano,Antony Gautier
,,,,,,,,,,
19,Sat,12/22/18,Rennes,2.1,4–0,1.3,Nîmes,22430,Roazhon Park,Jeremy Stinat
19,Sat,12/22/18,Monaco,0.5,0–2,1.2,Guingamp,6424,Stade Louis II.,Franck Schneider
19,Sat,12/22/18,Angers,1.6,1–1,1.1,Marseille,15113,Stade Raymond Kopa,Jérôme Brisard
19,Sat,12/22/18,Reims,1.6,2–2,1.4,Caen,11017,Stade Auguste-Delaune II,Jérôme Miguelgorry
19,Sat,12/22/18,Lille,0.9,1–2,1.7,Toulouse,30186,Stade Pierre-Mauroy,Benoît Millot
19,Sat,12/22/18,Saint-Étienne,2.5,3–0,1,Dijon,26215,Stade Geoffroy-Guichard,Eric Wattellier
19,Sat,12/22/18,Montpellier,0.8,1–1,0.5,Lyon,17275,Stade de la Mosson,François Letexier
19,Sat,12/22/18,Strasbourg,1.7,2–0,1.1,Nice,25113,Stade de la Meinau,Willy Delajod
19,Sat,12/22/18,Paris S-G,2.1,1–0,0.4,Nantes,47511,Parc des Princes,Karim Abed
19,Sun,12/23/18,Bordeaux,0.6,1–1,0.4,Amiens,23343,Stade Matmut-Atlantique,Mikael Lesage
,,,,,,,,,,
18,Tue,1/8/19,Nantes,1.7,2–0,0.8,Montpellier,15780,Stade de la Beaujoire - Louis Fonteneau,Willy Delajod
18,Tue,1/8/19,Amiens,2.1,0–0,0.2,Angers,10209,Stade de la Licorne,Johan Hamel
,,,,,,,,,,
20,Fri,1/11/19,Caen,1.2,1–3,2.1,Lille,16018,Stade Michel d'Ornano,Thomas Léonard
20,Fri,1/11/19,Lyon,1.4,1–1,0.8,Reims,42512,Groupama Stadium,Benoît Millot
20,Sat,1/12/19,Amiens,0.3,0–3,2.9,Paris S-G,11932,Stade de la Licorne,Florent Batta
20,Sat,1/12/19,Nice,1.6,1–0,1.6,Bordeaux,15191,Stade de Nice,Nicolas Rainville
20,Sat,1/12/19,Guingamp,0.7,0–1,0.8,Saint-Étienne,15342,Stade du Roudourou,Karim Abed
20,Sun,1/13/19,Nantes,1.6,0–1,0.2,Rennes,31195,Stade de la Beaujoire - Louis Fonteneau,Ruddy Buquet
20,Sun,1/13/19,Toulouse,2.1,1–2,1.3,Strasbourg,15465,Stadium Municipal,Hakim Ben El Hadj Salem
20,Sun,1/13/19,Dijon,0.8,1–1,0.8,Montpellier,11910,Stade Gaston Gérard,Benoît Bastien
20,Sun,1/13/19,Marseille,1.2,1–1,0.7,Monaco,44315,Orange Vélodrome,Mikael Lesage
